date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,12.1,11.6,12.7,3.9,,,3.4,,1031.2,
2023-01-02 00:00:00,11.4,10.5,12.1,4.5,,,2.8,,1030.3,
2023-01-03 00:00:00,12,10.2,13.1,1.1,,,2.5,,1029.8,
2023-01-04 00:00:00,11,8.5,15.5,0,,,4.6,,1029.1,
2023-01-05 00:00:00,10.2,9.4,10.6,3.9,,,4.1,,1023.9,
2023-01-06 00:00:00,10.4,8.7,12.1,0,,,4.2,,1025.2,
2023-01-07 00:00:00,10.1,9.2,10.7,1.6,,,3.6,,1024,
2023-01-08 00:00:00,10.6,9,12.5,11.8,,,5.3,,1017.6,
2023-01-09 00:00:00,10.8,7.5,12.7,41.2,,,13.5,,1004.3,
2023-01-10 00:00:00,9.6,6.2,14.7,1.2,,,8.4,,1013.5,
2023-01-11 00:00:00,7.6,3.8,11.7,0,,,6.6,,1020.7,
2023-01-12 00:00:00,10,7.5,15.7,1.1,,,6.8,,1021.4,
2023-01-13 00:00:00,9.6,6,13.7,0.3,,,4.8,,1019.6,
2023-01-14 00:00:00,10.1,6.5,14.7,0,,,7.2,,1021.9,
2023-01-15 00:00:00,9.8,7.7,11,12.1,,,7.3,,1015.4,
2023-01-16 00:00:00,9.1,6.1,10.6,50.2,,,13.4,,1000.1,
2023-01-17 00:00:00,7.4,6,9.1,46.2,,,9.2,,990.7,
2023-01-18 00:00:00,7.8,6.5,9.8,47.8,,,7.9,,993.7,
2023-01-19 00:00:00,5.8,4.6,7.3,5.4,,,10.9,,1002.8,
