date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01 00:00:00,12.9,10.6,14.5,0,,,4.2,14.8,1031.2,
2023-01-02 00:00:00,12.3,10.1,14.2,0,,,6.1,14.8,1030.1,
2023-01-03 00:00:00,12.4,10.4,14.4,0,,,6.8,18.5,1028.9,
2023-01-04 00:00:00,13.3,11.3,16.1,0,,,7.5,20.4,1027.2,
2023-01-05 00:00:00,11.2,8.5,13.6,0,,,6.3,13,1023.5,
2023-01-06 00:00:00,11,8.7,13.2,0,,,7.1,18.5,1024.1,
2023-01-07 00:00:00,12,9.5,14.3,0,,,6.2,18.5,1023.3,
2023-01-08 00:00:00,12.3,11.2,13.5,2.6,,,16.6,38.9,1019.6,
2023-01-09 00:00:00,12,11,13.9,62.9,,,31.4,79,1006.8,
2023-01-10 00:00:00,10.1,8,11.3,0,,,25.2,83,1008.8,
2023-01-11 00:00:00,9.6,7.5,11.9,0,,,19.7,65,1017.9,
2023-01-12 00:00:00,10.8,8.6,13.7,0,,,15.6,33.3,1019.2,
2023-01-13 00:00:00,9.9,7.6,11.7,0,,,8.8,22.2,1019.6,
2023-01-14 00:00:00,10.8,9,13.5,0,,,14.3,29.6,1020.2,
2023-01-15 00:00:00,9.9,6.8,13,0.8,,,18.8,44.5,1017.5,
2023-01-16 00:00:00,11.2,8.6,14.4,7.8,,,28,72,1002.7,
2023-01-17 00:00:00,12.4,9.5,14.5,1.3,,,28,97,993.1,
2023-01-18 00:00:00,12.3,10.7,13.8,12.5,,,27.1,65,995.3,
2023-01-19 00:00:00,9.7,7.6,12.5,4.6,,,16.1,40.8,1001.3,
2023-01-20 00:00:00,7.2,5.3,9.8,1.8,,,19.2,65,1004.1,
2023-01-21 00:00:00,5.2,1,8,6.3,,,43,101.8,1001.7,
2023-01-22 00:00:00,5.8,3.9,7.9,19.6,,,21.2,50,1013.7,
2023-01-23 00:00:00,9.2,6.4,11.3,3,,,31.5,104,1016.3,
2023-01-24 00:00:00,8.8,7,11.1,0,,,16.7,29.6,1025.5,
2023-01-25 00:00:00,8.5,6.8,11.2,0,,,21.8,46.3,1021.4,
2023-01-26 00:00:00,7.3,5.7,10.2,0.1,,,25.2,58,1010.3,
2023-01-27 00:00:00,5.9,4.1,8.7,0,,,29.2,72,1007.8,
2023-01-28 00:00:00,6.4,4.2,10.1,0,,,22.3,58,1014.4,
2023-01-29 00:00:00,7.1,4.5,10.3,0,,,19.3,48.2,1020.4,
